103.48.169.120:19554#香港-729M
151.241.5.124:7000#日本-781M
104.25.251.103:8443#香港-770M
104.25.240.113:443#香港-798M
160.191.40.194:443#日本-639M
172.64.146.196:443#香港-885M
139.162.8.21:444#新加坡~810M
103.150.8.160:50888#日本-735M
45.153.246.204:13933#日本-450M
45.149.156.48:50035#日本-706M
172.64.146.210:443#香港-765M
166.0.198.81:28101#台湾 ~ 564M
140.235.37.15:50000#日本 ~ 743M
45.78.55.214:443#日本 ~ 530M
104.20.60.225:443# 德国-510M
178.157.50.221:8001# 美国-527M
154.17.23.87:44464# 美国-590M
154.26.181.96:38316# 美国-洛杉矶-600M
104.194.86.60:587# 美国-635M
104.194.66.75:33444# 美国-640M
154.21.88.52:39995# 美国-618M
199.19.104.63:666# 美国-558M
104.18.120.239:443# 美国-622M
154.17.2.197:40912# 美国-620M
69.63.206.158:2112# 美国-541M
162.159.153.140:443# 英国- 630M
[2606:4700:90d6:df2d:9ca7:4cc6:5033:2156]:443# 香港V6-742M
[2606:4700:90d3:70e2:c8b:89e2:e839:5ece]:443# 香港V6-706M
[2606:4700:90d5:5b41:1ca2:f3f2:90e:c3e3]:443# 香港V6-728M
[2606:4700:83b2:cfd5:dc01:217f:afb4:323f]:443# 印度V6-670M
[2606:4700:8d77:6b03:fd06:1a90:7630:28d5]:443# 巴黎V6-540M
